crane_1497208128217_n_1_0_3609.wav, 1, 0, waiting, 2767, 2789, 4175, 4196, leaving, 2789, 2890, 4196, 5711, didPass, 0, detectionBtwn, 0, detectionWhole,2943
crane_1497208128217_n_1_0_3609.wav, 3, 0, waiting, 2767, 2794, 4175, 4196, leaving, 2794, 2890, 4196, 5620, didPass, 0, detectionBtwn, 0, detectionWhole,2853
crane_1497208128217_n_1_0_3609.wav, 5, 0, waiting, 4159, 4180, leaving, 4180, 5300, didPass, 1, detectionWhole,1141
crane_1497208128217_n_1_0_3609.wav, 7, 0, waiting, 4159, 4170, 4671, 4692, 4916, 4938, 5172, 5204, leaving, 4170, 4538, 4692, 4783, 4938, 5055, 5204, 5304, didPass, 0, detectionWhole,1144
crane_1497208128217_n_1_0_3609.wav, 1, 100, waiting, 2703, 2815, 4111, 4212, leaving, 2815, 2954, 4212, 5652, didPass, 0, detectionBtwn, 0, detectionWhole,2949
crane_1497208128217_n_1_0_3609.wav, 3, 100, waiting, 2794, 2901, 4202, 4324, leaving, 2901, 2922, 4324, 5610, didPass, 0, detectionBtwn, 0, detectionWhole,2815
crane_1497208128217_n_1_0_3609.wav, 5, 100, waiting, 4154, 4255, leaving, 4255, 5311, didPass, 1, detectionWhole,1157
crane_1497208128217_n_1_0_3609.wav, 7, 100, waiting, 4106, 4212, 4751, 4852, 5135, 5236, leaving, 4212, 4362, 4852, 5002, 5236, 5258, didPass, 0, detectionWhole,1151
crane_1497208128217_n_1_0_3609.wav, 1, 200, waiting, 2655, 2874, 4202, 4415, leaving, 2874, 2922, 4415, 5604, didPass, 0, detectionBtwn, 0, detectionWhole,2949
crane_1497208128217_n_1_0_3609.wav, 3, 200, waiting, 4148, 4351, leaving, 2741, 2879, 4351, 5567, didPass, 1, detectionWhole,1418
crane_1497208128217_n_1_0_3609.wav, 5, 200, waiting, 4116, 4319, leaving, 4319, 5386, didPass, 1, detectionWhole,1269
crane_1497208128217_n_1_0_3609.wav, 7, 200, waiting, 4084, 4287, 4991, 5204, leaving, 4287, 4351, 4720, 4858, 5204, 5247, didPass, 0, detectionBtwn, 0, detectionWhole,1162
crane_1497208128217_n_1_0_3609.wav, 1, 300, waiting, 4191, 4500, leaving, 2773, 2890, 4500, 5599, didPass, 1, detectionWhole,1407
crane_1497208128217_n_1_0_3609.wav, 3, 300, waiting, 4170, 4479, leaving, 2762, 2901, 4479, 5588, didPass, 1, detectionWhole,1418
