crane_1497208150576_n_1_0_3609.wav, ,11,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,13,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,15,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,5,350, waiting, leaving,3284,3540, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,7,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,9,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,11,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,13,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208150576_n_1_0_3609.wav, ,15,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,5,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,7,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,9,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,11,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,13,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,15,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,5,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,7,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,9,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,11,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,13,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,15,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,5,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,7,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,9,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,11,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,13,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,15,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,5,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,7,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,9,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,11,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,13,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208169856_n_1_0_3609.wav, ,15,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,5,50, waiting,981,1045, leaving,1045,1493, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,7,50, waiting,938,1002, leaving,1002,1194, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,9,50, waiting,1023,1087, leaving,1087,1279, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,11,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,13,50, waiting,1066,1130, leaving,1130,1194, didPass,1, detectionWhole,127,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,15,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,5,150, waiting,981,1151, leaving,1151,1493, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,7,150, waiting,938,1109, leaving,1109,1194, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,9,150, waiting,1023,1194, leaving,1194,1279, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,11,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,13,150, waiting, leaving,1066,1194, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,15,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,5,250, waiting,981,1237, leaving,1237,1493, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,7,250, waiting, leaving,938,1194, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,9,250, waiting, leaving,1023,1279, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,11,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,13,250, waiting, leaving,1066,1194, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,15,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,5,350, waiting,981,1343, leaving,1343,1493, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,7,350, waiting, leaving,938,1194, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,9,350, waiting, leaving,1023,1279, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,11,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,13,350, waiting, leaving,1066,1194, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208198740_n_1_0_3609.wav, ,15,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,5,50, waiting,3029,3092, leaving,3092,3796, didPass,1, detectionWhole,767,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,7,50, waiting,3114,3178, leaving,3178,3754, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,9,50, waiting,3199,3263, leaving,3263,3711, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
